id,speed,pricelev,pricefle,mimage,service,simage,quality,firmsize,usage,satisfaction,specbuy,structre,indtype,buysit,CustomerValueGroup,Zspeed,Zpricelev,Zpricefle,Zmimage,Zservice,Zsimage,Zsatisfaction,Zquality
1,4.1,0.6,6.9,4.7,2.4,2.3,6.0,0,32.0,4.2,1,0,1,1,0.00,0.44294,-1.47534,-0.71691,-0.48435,-0.68685,-0.47350,-0.66740,0.90731
2,1.8,3.0,6.3,6.6,2.5,4.0,3.0,1,43.0,4.3,0,0,0,1,0.00,-1.29853,0.53192,-1.14966,1.19497,-0.55374,1.73184,-0.55052,-0.91949
3,3.4,5.2,5.7,6.0,4.3,2.7,3.0,1,48.0,5.2,0,1,1,2,0.00,-0.08707,2.37191,-1.58240,0.66466,1.84224,0.04540,0.50143,-0.91949
4,2.7,1.0,7.1,5.9,1.8,2.3,4.0,1,32.0,3.9,0,1,1,1,0.00,-0.61708,-1.14079,-0.57266,0.57627,-1.48551,-0.47350,-1.01805,-0.31056
5,6.0,0.9,9.6,7.8,3.4,4.6,7.0,0,58.0,6.8,1,0,1,3,1.00,1.88154,-1.22443,1.23043,2.25559,0.64425,2.51020,2.37155,1.51625
6,1.9,3.3,7.9,4.8,2.6,1.9,2.0,1,45.0,4.4,0,1,1,2,0.00,-1.22281,0.78283,0.00433,-0.39596,-0.42063,-0.99240,-0.43364,-1.52842
7,4.6,2.4,9.5,6.6,3.5,4.5,4.0,0,46.0,5.8,1,0,1,1,0.00,0.82152,0.03011,1.15831,1.19497,0.77736,2.38047,1.20272,-0.31056
8,1.3,4.2,6.2,5.1,2.8,2.2,5.0,1,44.0,4.3,0,1,0,2,0.00,-1.67711,1.53556,-1.22178,-0.13081,-0.15441,-0.60323,-0.55052,0.29838
9,5.5,1.6,9.4,4.7,3.5,3.0,4.0,0,63.0,5.4,1,0,1,3,1.00,1.50296,-0.63898,1.08619,-0.48435,0.77736,0.43458,0.73519,-0.31056
10,4.0,3.5,6.5,6.0,3.7,3.2,3.0,1,54.0,5.4,0,1,0,2,1.00,0.36722,0.95010,-1.00541,0.66466,1.04358,0.69403,0.73519,-0.91949
11,2.4,1.6,8.8,4.8,2.0,2.8,6.0,0,32.0,4.3,1,0,0,1,0.00,-0.84423,-0.63898,0.65344,-0.39596,-1.21929,0.17513,-0.55052,0.90731
12,3.9,2.2,9.1,4.6,3.0,2.5,3.0,0,47.0,5.0,1,0,1,2,0.00,0.29151,-0.13716,0.86981,-0.57273,0.11181,-0.21405,0.26766,-0.91949
13,2.8,1.4,8.1,3.8,2.1,1.4,5.0,1,39.0,4.4,0,0,0,1,0.00,-0.54137,-0.80625,0.14858,-1.27981,-1.08618,-1.64104,-0.43364,0.29838
14,3.7,1.5,8.6,5.7,2.7,3.7,5.0,0,38.0,5.0,1,0,1,1,0.00,0.14007,-0.72261,0.50920,0.39950,-0.28752,1.34267,0.26766,0.29838
15,4.7,1.3,9.9,6.7,3.0,2.6,5.0,0,54.0,5.9,1,0,0,3,1.00,0.89723,-0.88989,1.44681,1.28335,0.11181,-0.08432,1.31961,0.29838
16,3.4,2.0,9.7,4.7,2.7,1.7,7.0,0,49.0,4.7,1,0,0,3,0.00,-0.08707,-0.30443,1.30256,-0.48435,-0.28752,-1.25186,-0.08299,1.51625
17,3.2,4.1,5.7,5.1,3.6,2.9,5.0,0,38.0,4.4,1,1,1,2,0.00,-0.23851,1.45192,-1.58240,-0.13081,0.91047,0.30486,-0.43364,0.29838
18,4.9,1.8,7.7,4.3,3.4,1.5,6.0,0,40.0,5.6,1,0,0,2,0.00,1.04867,-0.47171,-0.13992,-0.83789,0.64425,-1.51131,0.96896,0.90731
19,5.3,1.4,9.7,6.1,3.3,3.9,5.0,0,54.0,5.9,1,0,1,3,1.00,1.35153,-0.80625,1.30256,0.75304,0.51114,1.60212,1.31961,0.29838
20,4.7,1.3,9.9,6.7,3.0,2.6,5.0,0,55.0,6.0,1,0,0,3,1.00,0.89723,-0.88989,1.44681,1.28335,0.11181,-0.08432,1.43649,0.29838
21,3.3,0.9,8.6,4.0,2.1,1.8,5.0,0,41.0,4.5,1,0,0,2,0.00,-0.16279,-1.22443,0.50920,-1.10304,-1.08618,-1.12213,-0.31675,0.29838
22,3.4,0.4,8.3,2.5,1.2,1.7,6.0,0,35.0,3.3,1,0,0,1,0.00,-0.08707,-1.64261,0.29282,-2.42882,-2.28417,-1.25186,-1.71935,0.90731
23,3.0,4.0,9.1,7.1,3.5,3.4,3.0,0,55.0,5.2,1,1,0,3,1.00,-0.38994,1.36828,0.86981,1.63689,0.77736,0.95349,0.50143,-0.91949
24,2.4,1.5,6.7,4.8,1.9,2.5,4.0,1,36.0,3.7,0,1,0,1,0.00,-0.84423,-0.72261,-0.86116,-0.39596,-1.35240,-0.21405,-1.25182,-0.31056
25,5.1,1.4,8.7,4.8,3.3,2.6,8.0,0,49.0,4.9,1,0,0,2,0.00,1.20010,-0.80625,0.58132,-0.39596,0.51114,-0.08432,0.15078,2.12518
26,4.6,2.1,7.9,5.8,3.4,2.8,7.0,0,49.0,5.9,1,0,1,3,0.00,0.82152,-0.22080,0.00433,0.48789,0.64425,0.17513,1.31961,1.51625
27,2.4,1.5,6.6,4.8,1.9,2.5,4.0,1,36.0,3.7,0,0,0,1,0.00,-0.84423,-0.72261,-0.93328,-0.39596,-1.35240,-0.21405,-1.25182,-0.31056
28,5.2,1.3,9.7,6.1,3.2,3.9,5.0,0,54.0,5.8,1,0,1,3,1.00,1.27581,-0.88989,1.30256,0.75304,0.37803,1.60212,1.20272,0.29838
29,3.5,2.8,9.9,3.5,3.1,1.7,6.0,0,49.0,5.4,1,0,1,3,0.00,-0.01136,0.36465,1.44681,-1.54497,0.24492,-1.25186,0.73519,0.90731
30,4.1,3.7,5.9,5.5,3.9,3.0,3.0,1,46.0,5.1,0,0,0,2,0.00,0.44294,1.11738,-1.43815,0.22273,1.30980,0.43458,0.38454,-0.91949
31,3.0,3.2,6.0,5.3,3.1,3.0,3.0,1,43.0,3.3,0,1,0,1,0.00,-0.38994,0.69920,-1.36603,0.04596,0.24492,0.43458,-1.71935,-0.91949
32,2.8,3.8,8.9,6.9,3.3,3.2,3.0,0,53.0,5.0,1,1,0,3,1.00,-0.54137,1.20101,0.72557,1.46012,0.51114,0.69403,0.26766,-0.91949
33,5.2,2.0,9.3,5.9,3.7,2.4,7.0,0,60.0,6.1,1,0,0,3,1.00,1.27581,-0.30443,1.01406,0.57627,1.04358,-0.34377,1.55337,1.51625
34,3.4,3.7,6.4,5.7,3.5,3.4,3.0,1,47.0,3.8,0,1,0,1,0.00,-0.08707,1.11738,-1.07753,0.39950,0.77736,0.95349,-1.13493,-0.91949
35,2.4,1.0,7.7,3.4,1.7,1.1,5.0,1,35.0,4.1,0,0,0,1,0.00,-0.84423,-1.14079,-0.13992,-1.63335,-1.61862,-2.03021,-0.78428,0.29838
36,1.8,3.3,7.5,4.5,2.5,2.4,4.0,1,39.0,3.6,0,1,1,1,0.00,-1.29853,0.78283,-0.28417,-0.66112,-0.55374,-0.34377,-1.36870,-0.31056
37,3.6,4.0,5.8,5.8,3.7,2.5,2.0,1,44.0,4.8,0,1,1,2,0.00,0.06436,1.36828,-1.51028,0.48789,1.04358,-0.21405,0.03390,-1.52842
38,4.0,0.9,9.1,5.4,2.4,2.6,4.0,0,46.0,5.1,1,0,1,3,0.00,0.36722,-1.22443,0.86981,0.13435,-0.68685,-0.08432,0.38454,-0.31056
39,0.0,2.1,6.9,5.4,1.1,2.6,3.0,1,29.0,3.9,0,1,1,1,0.00,-2.66141,-0.22080,-0.71691,0.13435,-2.41728,-0.08432,-1.01805,-0.91949
40,2.4,2.0,6.4,4.5,2.1,2.2,3.0,1,28.0,3.3,0,1,1,1,0.00,-0.84423,-0.30443,-1.07753,-0.66112,-1.08618,-0.60323,-1.71935,-0.91949
41,1.9,3.4,7.6,4.6,2.6,2.5,4.0,1,40.0,3.7,0,1,1,1,0.00,-1.22281,0.86647,-0.21204,-0.57273,-0.42063,-0.21405,-1.25182,-0.31056
42,5.9,0.9,9.6,7.8,3.4,4.6,7.0,0,58.0,6.7,1,0,1,3,1.00,1.80582,-1.22443,1.23043,2.25559,0.64425,2.51020,2.25467,1.51625
43,4.9,2.3,9.3,4.5,3.6,1.3,5.0,0,53.0,5.9,1,0,0,3,1.00,1.04867,-0.05353,1.01406,-0.66112,0.91047,-1.77076,1.31961,0.29838
44,5.0,1.3,8.6,4.7,3.1,2.5,8.0,0,48.0,4.8,1,0,0,2,0.00,1.12438,-0.88989,0.50920,-0.48435,0.24492,-0.21405,0.03390,2.12518
45,2.0,2.6,6.5,3.7,2.4,1.7,3.0,1,38.0,3.2,0,1,1,1,0.00,-1.14710,0.19738,-1.00541,-1.36820,-0.68685,-1.25186,-1.83623,-0.91949
46,5.0,2.5,9.4,4.6,3.7,1.4,5.0,0,54.0,6.0,1,0,0,3,1.00,1.12438,0.11374,1.08619,-0.57273,1.04358,-1.64104,1.43649,0.29838
47,3.1,1.9,10.0,4.5,2.6,3.2,8.0,0,55.0,4.9,1,0,1,3,1.00,-0.31422,-0.38807,1.51893,-0.66112,-0.42063,0.69403,0.15078,2.12518
48,3.4,3.9,5.6,5.6,3.6,2.3,2.0,1,43.0,4.7,0,0,1,2,0.00,-0.08707,1.28465,-1.65452,0.31112,0.91047,-0.47350,-0.08299,-1.52842
49,5.8,0.2,8.8,4.5,3.0,2.4,5.0,0,57.0,4.9,1,0,1,3,1.00,1.73011,-1.80988,0.65344,-0.66112,0.11181,-0.34377,0.15078,0.29838
50,5.4,2.1,8.0,3.0,3.8,1.4,6.0,0,53.0,3.8,1,0,1,3,1.00,1.42724,-0.22080,0.07645,-1.98689,1.17669,-1.64104,-1.13493,0.90731
51,3.7,0.7,8.2,6.0,2.1,2.5,6.0,0,41.0,5.0,1,0,0,2,0.00,0.14007,-1.39170,0.22070,0.66466,-1.08618,-0.21405,0.26766,0.90731
52,2.6,4.8,8.2,5.0,3.6,2.5,2.0,1,53.0,5.2,0,1,1,2,1.00,-0.69280,2.03737,0.22070,-0.21919,0.91047,-0.21405,0.50143,-1.52842
53,4.5,4.1,6.3,5.9,4.3,3.4,3.0,1,50.0,5.5,0,1,0,2,0.00,0.74580,1.45192,-1.14966,0.57627,1.84224,0.95349,0.85208,-0.91949
54,2.8,2.4,6.7,4.9,2.5,2.6,2.0,1,32.0,3.7,0,1,1,1,0.00,-0.54137,0.03011,-0.86116,-0.30758,-0.55374,-0.08432,-1.25182,-1.52842
55,3.8,0.8,8.7,2.9,1.6,2.1,6.0,0,39.0,3.7,1,0,0,1,0.00,0.21579,-1.30807,0.58132,-2.07528,-1.75173,-0.73295,-1.25182,0.90731
56,2.9,2.6,7.7,7.0,2.8,3.6,4.0,0,47.0,4.2,1,1,1,2,0.00,-0.46565,0.19738,-0.13992,1.54851,-0.15441,1.21294,-0.66740,-0.31056
57,4.9,4.4,7.4,6.9,4.6,4.0,2.0,1,62.0,6.2,0,1,0,2,1.00,1.04867,1.70283,-0.35629,1.46012,2.24157,1.73184,1.67026,-1.52842
58,5.4,2.5,9.6,5.5,4.0,3.0,4.0,0,65.0,6.0,1,0,0,3,1.00,1.42724,0.11374,1.23043,0.22273,1.44291,0.43458,1.43649,-0.31056
59,4.3,1.8,7.6,5.4,3.1,2.5,7.0,0,46.0,5.6,1,0,1,3,0.00,0.59437,-0.47171,-0.21204,0.13435,0.24492,-0.21405,0.96896,1.51625
60,2.3,4.5,8.0,4.7,3.3,2.2,3.0,1,50.0,5.0,0,1,1,2,0.00,-0.91995,1.78646,0.07645,-0.48435,0.51114,-0.60323,0.26766,-0.91949
61,3.1,1.9,9.9,4.5,2.6,3.1,8.0,0,54.0,4.8,1,0,1,3,1.00,-0.31422,-0.38807,1.44681,-0.66112,-0.42063,0.56431,0.03390,2.12518
62,5.1,1.9,9.2,5.8,3.6,2.3,7.0,0,60.0,6.1,1,0,0,3,1.00,1.20010,-0.38807,0.94194,0.48789,0.91047,-0.47350,1.55337,1.51625
63,4.1,1.1,9.3,5.5,2.5,2.7,4.0,0,47.0,5.3,1,0,1,3,0.00,0.44294,-1.05716,1.01406,0.22273,-0.55374,0.04540,0.61831,-0.31056
64,3.0,3.8,5.5,4.9,3.4,2.6,5.0,0,36.0,4.2,1,1,1,2,0.00,-0.38994,1.20101,-1.72665,-0.30758,0.64425,-0.08432,-0.66740,0.29838
65,1.1,2.0,7.2,4.7,1.6,3.2,2.0,1,40.0,3.4,0,1,1,1,0.00,-1.82854,-0.30443,-0.50054,-0.48435,-1.75173,0.69403,-1.60246,-1.52842
66,3.7,1.4,9.0,4.5,2.6,2.3,5.0,0,45.0,4.9,1,0,0,2,0.00,0.14007,-0.80625,0.79769,-0.66112,-0.42063,-0.47350,0.15078,0.29838
67,4.2,2.5,9.2,6.2,3.3,3.9,4.0,0,59.0,6.0,1,0,0,3,1.00,0.51865,0.11374,0.94194,0.84143,0.51114,1.60212,1.43649,-0.31056
68,1.6,4.5,6.4,5.3,3.0,2.5,4.0,1,46.0,4.5,0,1,0,2,0.00,-1.44996,1.78646,-1.07753,0.04596,0.11181,-0.21405,-0.31675,-0.31056
69,5.3,1.7,8.5,3.7,3.5,1.9,7.0,0,58.0,4.3,1,0,0,3,1.00,1.35153,-0.55534,0.43707,-1.36820,0.77736,-0.99240,-0.55052,1.51625
70,2.3,3.7,8.3,5.2,3.0,2.3,2.0,1,49.0,4.8,0,1,1,2,0.00,-0.91995,1.11738,0.29282,-0.04242,0.11181,-0.47350,0.03390,-1.52842
71,3.6,5.4,5.9,6.2,4.5,2.9,3.0,1,50.0,5.4,0,1,1,2,0.00,0.06436,2.53919,-1.43815,0.84143,2.10846,0.30486,0.73519,-0.91949
72,5.6,2.2,8.2,3.1,4.0,1.6,6.0,0,55.0,3.9,1,0,1,3,1.00,1.57868,-0.13716,0.22070,-1.89851,1.44291,-1.38158,-1.01805,0.90731
73,3.6,2.2,9.9,4.8,2.9,1.9,7.0,0,51.0,4.9,1,0,0,3,1.00,0.06436,-0.13716,1.44681,-0.39596,-0.02130,-0.99240,0.15078,1.51625
74,5.2,1.3,9.1,4.5,3.3,2.7,4.0,0,60.0,5.1,1,0,1,3,1.00,1.27581,-0.88989,0.86981,-0.66112,0.51114,0.04540,0.38454,-0.31056
75,3.0,2.0,6.6,6.6,2.4,2.7,3.0,1,41.0,4.1,0,1,0,1,0.00,-0.38994,-0.30443,-0.93328,1.19497,-0.68685,0.04540,-0.78428,-0.91949
76,4.2,2.4,9.4,4.9,3.2,2.7,3.0,0,49.0,5.2,1,0,1,2,0.00,0.51865,0.03011,1.08619,-0.30758,0.37803,0.04540,0.50143,-0.91949
77,3.8,0.8,8.3,6.1,2.2,2.6,6.0,0,42.0,5.1,1,0,0,2,0.00,0.21579,-1.30807,0.29282,0.75304,-0.95307,-0.08432,0.38454,0.90731
78,3.3,2.6,9.7,3.3,2.9,1.5,6.0,0,47.0,5.1,1,0,1,3,0.00,-0.16279,0.19738,1.30256,-1.72174,-0.02130,-1.51131,0.38454,0.90731
79,1.0,1.9,7.1,4.5,1.5,3.1,2.0,1,39.0,3.3,0,1,1,1,0.00,-1.90426,-0.38807,-0.57266,-0.66112,-1.88484,0.56431,-1.71935,-1.52842
80,4.5,1.6,8.7,4.6,3.1,2.1,5.0,0,56.0,5.1,1,0,0,3,1.00,0.74580,-0.63898,0.58132,-0.57273,0.24492,-0.73295,0.38454,0.29838
81,5.5,1.8,8.7,3.8,3.6,2.1,7.0,0,59.0,4.5,1,0,0,3,1.00,1.50296,-0.47171,0.58132,-1.27981,0.91047,-0.73295,-0.31675,1.51625
82,3.4,4.6,5.5,8.2,4.0,4.4,5.0,0,47.0,5.6,1,1,1,2,0.00,-0.08707,1.87010,-1.72665,2.60913,1.44291,2.25075,0.96896,0.29838
83,1.6,2.8,6.1,6.4,2.3,3.8,3.0,1,41.0,4.1,0,1,0,1,0.00,-1.44996,0.36465,-1.29390,1.01820,-0.81996,1.47239,-0.78428,-0.91949
84,2.3,3.7,7.6,5.0,3.0,2.5,4.0,0,37.0,4.4,1,1,0,1,0.00,-0.91995,1.11738,-0.21204,-0.21919,0.11181,-0.21405,-0.43364,-0.31056
85,2.6,3.0,8.5,6.0,2.8,2.8,5.0,1,53.0,5.6,0,1,0,2,1.00,-0.69280,0.53192,0.43707,0.66466,-0.15441,0.17513,0.96896,0.29838
86,2.5,3.1,7.0,4.2,2.8,2.2,2.0,1,43.0,3.7,0,1,1,1,0.00,-0.76852,0.61556,-0.64479,-0.92627,-0.15441,-0.60323,-1.25182,-1.52842
87,2.4,2.9,8.4,5.9,2.7,2.7,5.0,1,51.0,5.5,0,1,0,2,1.00,-0.84423,0.44829,0.36495,0.57627,-0.28752,0.04540,0.85208,0.29838
88,2.1,3.5,7.4,4.8,2.8,2.3,4.0,0,36.0,4.3,1,1,0,1,0.00,-1.07138,0.95010,-0.35629,-0.39596,-0.15441,-0.47350,-0.55052,-0.31056
89,2.9,1.2,7.3,6.1,2.0,2.5,3.0,1,34.0,4.0,0,1,1,1,0.00,-0.46565,-0.97352,-0.42842,0.75304,-1.21929,-0.21405,-0.90117,-0.91949
90,4.3,2.5,9.3,6.3,3.4,4.0,4.0,0,60.0,6.1,1,0,0,3,1.00,0.59437,0.11374,1.01406,0.92981,0.64425,1.73184,1.55337,-0.31056
91,3.0,2.8,7.8,7.1,3.0,3.8,4.0,0,49.0,4.4,1,1,1,2,0.00,-0.38994,0.36465,-0.06780,1.63689,0.11181,1.47239,-0.43364,-0.31056
92,4.8,1.7,7.6,4.2,3.3,1.4,6.0,0,39.0,5.5,1,0,0,2,0.00,0.97295,-0.55534,-0.21204,-0.92627,0.51114,-1.64104,0.85208,0.90731
93,3.1,4.2,5.1,7.8,3.6,4.0,6.0,0,43.0,5.2,1,1,1,2,0.00,-0.31422,1.53556,-2.01514,2.25559,0.91047,1.73184,0.50143,0.90731
94,1.9,2.7,5.0,4.9,2.2,2.5,3.0,1,36.0,3.6,0,1,0,1,0.00,-1.22281,0.28102,-2.08727,-0.30758,-0.95307,-0.21405,-1.36870,-0.91949
95,4.0,0.5,6.7,4.5,2.2,2.1,6.0,0,31.0,4.0,1,0,1,1,0.00,0.36722,-1.55897,-0.86116,-0.66112,-0.95307,-0.73295,-0.90117,0.90731
96,0.6,1.6,6.4,5.0,0.7,2.1,3.0,1,25.0,3.4,0,1,1,1,0.00,-2.20712,-0.63898,-1.07753,-0.21919,-2.94972,-0.73295,-1.60246,-0.91949
97,6.1,0.5,9.2,4.8,3.3,2.8,4.0,0,60.0,5.2,1,0,1,3,1.00,1.95726,-1.55897,0.94194,-0.39596,0.51114,0.17513,0.50143,-0.31056
98,2.0,2.8,5.2,5.0,2.4,2.7,3.0,1,38.0,3.7,0,1,0,1,0.00,-1.14710,0.36465,-1.94302,-0.21919,-0.68685,0.04540,-1.25182,-0.91949
99,3.1,2.2,6.7,6.8,2.6,2.9,3.0,1,42.0,4.3,0,1,0,1,0.00,-0.31422,-0.13716,-0.86116,1.37174,-0.42063,0.30486,-0.55052,-0.91949
100,2.5,1.8,9.0,5.0,2.2,3.0,5.0,0,33.0,4.4,1,0,0,1,0.00,-0.76852,-0.47171,0.79769,-0.21919,-0.95307,0.43458,-0.43364,0.29838
